"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"ANDA","Andina Acquisition Corp. III","12/08/2015","$45,278,350","N","1.01","1.00","1.00","0.68","4,417,400","19,865","0.45%","Analyze"
"AMCI","AMCI Acquisition Corp. - Class A","11/04/2014","$167,894,312","Y","1.07","1.10","1.12","0.73","9,061,140","220,130","2.43%","Analyze"
"PIC","Pivotal Investment Corporation II Class A","02/25/2013","$419,750,000","Y","1.04","1.26","1.42","1.51","23,000,000","2,775,752","12.07%","Analyze"
"CCX","Churchill Capital Corp II Class A","09/23/2010","$870,262,500","Y","0.00","1.01","0.96","0.00","69,000,000","1,999,190","2.90%","Analyze"
"CAPA","HighCape Capital Acquisition Corp. - Class A","09/11/2009","$117,859,500","N","1.04","0.00","0.00","0.00","11,905,000","123","0.00%","Analyze"
"CIIC","CIIG Merger Corp. - Class A","02/13/2008","$779,484,375","N","1.04","1.33","2.32","2.48","25,875,000","6,797,541","26.27%","Analyze"
"ALUS","Alussa Energy Acquisition Corp. Class A","07/12/2007","$356,140,625","N","1.04","0.00","0.00","0.00","28,750,000","33,176","0.12%","Analyze"
"LSAC","LifeSci Acquisition Corp.","05/08/2006","$269,442,676","Y","1.06","1.00","1.35","2.13","8,204,710","11,212","0.14%","Analyze"
"RMG","RMG Acquisition Corp. Class A","12/31/1999","$488,175,000","Y","1.04","1.45","1.66","1.73","23,000,000","2,085,362","9.07%","Analyze"
"SFTW","Osprey Technology Acquisition Corp. Class A","12/31/1997","$402,428,125","N","1.04","1.00","1.02","1.05","31,625,000","47,188","0.15%","Analyze"
"GIX","GigCapital2, Inc.","12/31/1997","$228,011,250","N","1.00","1.01","1.01","1.30","22,245,000","386,741","1.74%","Analyze"
"FSRV","FinServ Acquisition Corp. - Class A","01/20/1995","$322,341,500","N","1.04","1.01","1.02","1.07","25,665,000","40,986","0.16%","Analyze"
